ALDER;KØN;TID;INDHOLD
0;M;1980;30347
0;M;1981;29207
0;M;1982;26987
0;M;1983;26964
0;M;1984;25929
0;M;1985;26499
0;M;1986;27445
0;M;1987;28447
0;M;1988;29013
0;M;1989;30299
0;M;1990;31369
0;M;1991;32565
0;M;1992;32945
0;M;1993;34757
0;M;1994;34568
0;M;1995;35612
0;M;1996;36054
0;M;1997;34853
0;M;1998;34774
0;M;1999;34074
0;M;2000;33906
0;M;2001;34418
0;M;2002;33479
0;M;2003;32990
0;M;2004;33351
0;M;2005;33142
0;M;2006;32908
0;M;2007;33537
0;M;2008;32976
0;M;2009;33656
0;M;2010;32435
0;M;2011;32628
0;M;2012;30184
0;M;2013;29991
0;M;2014;28751
0;M;2015;29375
0;M;2016;30049
0;M;2017;31971
0;M;2018;31624
0;M;2019;31754
0;M;2020;31649
0;M;2021;31303
0;M;2022;32655
0;M;2023;30271
0;K;1980;28886
0;K;1981;27959
0;K;1982;25993
0;K;1983;25678
0;K;1984;24915
0;K;1985;25302
0;K;1986;26386
0;K;1987;26938
0;K;1988;27177
0;K;1989;28498
0;K;1990;29863
0;K;1991;30863
0;K;1992;31378
0;K;1993;32894
0;K;1994;32792
0;K;1995;34093
0;K;1996;34051
0;K;1997;32938
0;K;1998;32868
0;K;1999;32131
0;K;2000;32396
0;K;2001;32672
0;K;2002;31991
0;K;2003;31179
0;K;2004;31704
0;K;2005;31593
0;K;2006;31603
0;K;2007;31669
0;K;2008;31436
0;K;2009;31648
0;K;2010;30743
0;K;2011;31111
0;K;2012;29122
0;K;2013;28255
0;K;2014;27410
0;K;2015;27755
0;K;2016;28556
0;K;2017;30054
0;K;2018;30107
0;K;2019;29979
0;K;2020;29817
0;K;2021;29888
0;K;2022;30947
0;K;2023;28469
1;M;1980;31791
1;M;1981;30408
1;M;1982;29217
1;M;1983;27032
1;M;1984;27040
1;M;1985;25993
1;M;1986;26603
1;M;1987;27615
1;M;1988;28584
1;M;1989;29062
1;M;1990;30353
1;M;1991;31454
1;M;1992;32691
1;M;1993;33107
1;M;1994;34953
1;M;1995;34747
1;M;1996;36007
1;M;1997;36262
1;M;1998;34998
1;M;1999;34913
1;M;2000;34238
1;M;2001;34089
1;M;2002;34580
1;M;2003;33652
1;M;2004;33148
1;M;2005;33326
1;M;2006;33275
1;M;2007;33019
1;M;2008;33797
1;M;2009;33212
1;M;2010;33984
1;M;2011;32714
1;M;2012;32854
1;M;2013;30402
1;M;2014;30273
1;M;2015;29064
1;M;2016;29750
1;M;2017;30364
1;M;2018;32226
1;M;2019;31799
1;M;2020;31880
1;M;2021;31758
1;M;2022;31464
1;M;2023;33003
1;K;1980;30373
1;K;1981;29042
1;K;1982;28077
1;K;1983;26099
1;K;1984;25775
1;K;1985;24982
1;K;1986;25447
1;K;1987;26591
1;K;1988;27120
1;K;1989;27322
1;K;1990;28601
1;K;1991;29961
1;K;1992;31038
1;K;1993;31549
1;K;1994;33052
1;K;1995;32967
1;K;1996;34415
1;K;1997;34313
1;K;1998;33132
1;K;1999;33070
1;K;2000;32365
1;K;2001;32637
1;K;2002;32982
1;K;2003;32215
1;K;2004;31401
1;K;2005;31766
1;K;2006;31780
1;K;2007;31746
1;K;2008;31925
1;K;2009;31678
1;K;2010;31993
1;K;2011;30951
1;K;2012;31314
1;K;2013;29316
1;K;2014;28448
1;K;2015;27684
1;K;2016;28144
1;K;2017;28889
1;K;2018;30282
1;K;2019;30247
1;K;2020;30036
1;K;2021;29905
1;K;2022;30050
1;K;2023;31338
2;M;1980;31780
2;M;1981;31830
2;M;1982;30390
2;M;1983;29277
2;M;1984;27018
2;M;1985;27063
2;M;1986;26075
2;M;1987;26730
2;M;1988;27743
2;M;1989;28570
2;M;1990;29114
2;M;1991;30455
2;M;1992;31564
2;M;1993;32817
2;M;1994;33253
2;M;1995;35080
2;M;1996;34960
2;M;1997;36196
2;M;1998;36386
2;M;1999;35088
2;M;2000;34981
2;M;2001;34332
2;M;2002;34169
2;M;2003;34640
2;M;2004;33634
2;M;2005;33162
2;M;2006;33338
2;M;2007;33251
2;M;2008;33129
2;M;2009;33943
2;M;2010;33380
2;M;2011;34125
2;M;2012;32813
2;M;2013;33032
2;M;2014;30596
2;M;2015;30485
2;M;2016;29459
2;M;2017;30069
2;M;2018;30524
2;M;2019;32318
2;M;2020;31833
2;M;2021;31909
2;M;2022;31839
2;M;2023;31834
2;K;1980;30379
2;K;1981;30375
2;K;1982;29062
2;K;1983;28095
2;K;1984;26112
2;K;1985;25786
2;K;1986;25062
2;K;1987;25576
2;K;1988;26656
2;K;1989;27139
2;K;1990;27358
2;K;1991;28692
2;K;1992;30147
2;K;1993;31136
2;K;1994;31651
2;K;1995;33197
2;K;1996;33231
2;K;1997;34579
2;K;1998;34448
2;K;1999;33238
2;K;2000;33174
2;K;2001;32482
2;K;2002;32743
2;K;2003;33082
2;K;2004;32251
2;K;2005;31445
2;K;2006;31817
2;K;2007;31829
2;K;2008;31864
2;K;2009;32119
2;K;2010;31825
2;K;2011;32110
2;K;2012;31029
2;K;2013;31390
2;K;2014;29450
2;K;2015;28649
2;K;2016;28025
2;K;2017;28451
2;K;2018;28999
2;K;2019;30357
2;K;2020;30315
2;K;2021;30058
2;K;2022;30025
2;K;2023;30375
3;M;1980;33736
3;M;1981;31768
3;M;1982;31827
3;M;1983;30344
3;M;1984;29262
3;M;1985;27017
3;M;1986;27145
3;M;1987;26180
3;M;1988;26836
3;M;1989;27789
3;M;1990;28649
3;M;1991;29236
3;M;1992;30550
3;M;1993;31672
3;M;1994;32890
3;M;1995;33328
3;M;1996;35352
3;M;1997;35136
3;M;1998;36289
3;M;1999;36489
3;M;2000;35170
3;M;2001;35049
3;M;2002;34438
3;M;2003;34233
3;M;2004;34675
3;M;2005;33625
3;M;2006;33196
3;M;2007;33359
3;M;2008;33280
3;M;2009;33253
3;M;2010;34034
3;M;2011;33490
3;M;2012;34207
3;M;2013;32921
3;M;2014;33151
3;M;2015;30753
3;M;2016;30834
3;M;2017;29675
3;M;2018;30231
3;M;2019;30563
3;M;2020;32347
3;M;2021;31852
3;M;2022;31991
3;M;2023;32175
3;K;1980;31868
3;K;1981;30398
3;K;1982;30366
3;K;1983;29083
3;K;1984;28155
3;K;1985;26134
3;K;1986;25885
3;K;1987;25184
3;K;1988;25643
3;K;1989;26698
3;K;1990;27191
3;K;1991;27416
3;K;1992;28830
3;K;1993;30240
3;K;1994;31232
3;K;1995;31735
3;K;1996;33452
3;K;1997;33397
3;K;1998;34711
3;K;1999;34519
3;K;2000;33287
3;K;2001;33261
3;K;2002;32600
3;K;2003;32820
3;K;2004;33122
3;K;2005;32242
3;K;2006;31459
3;K;2007;31829
3;K;2008;31936
3;K;2009;31998
3;K;2010;32214
3;K;2011;31916
3;K;2012;32151
3;K;2013;31085
3;K;2014;31487
3;K;2015;29636
3;K;2016;28969
3;K;2017;28302
3;K;2018;28600
3;K;2019;29045
3;K;2020;30350
3;K;2021;30333
3;K;2022;30144
3;K;2023;30396
4;M;1980;36663
4;M;1981;33751
4;M;1982;31749
4;M;1983;31797
4;M;1984;30308
4;M;1985;29255
4;M;1986;27107
4;M;1987;27268
4;M;1988;26247
4;M;1989;26877
4;M;1990;27811
4;M;1991;28749
4;M;1992;29352
4;M;1993;30640
4;M;1994;31766
4;M;1995;32973
4;M;1996;33643
4;M;1997;35513
4;M;1998;35201
4;M;1999;36373
4;M;2000;36534
4;M;2001;35262
4;M;2002;35156
4;M;2003;34500
4;M;2004;34249
4;M;2005;34627
4;M;2006;33572
4;M;2007;33215
4;M;2008;33398
4;M;2009;33421
4;M;2010;33339
4;M;2011;34127
4;M;2012;33582
4;M;2013;34325
4;M;2014;33021
4;M;2015;33324
4;M;2016;31038
4;M;2017;31101
4;M;2018;29754
4;M;2019;30260
4;M;2020;30577
4;M;2021;32402
4;M;2022;31908
4;M;2023;32347
4;K;1980;35477
4;K;1981;31886
4;K;1982;30348
4;K;1983;30364
4;K;1984;29075
4;K;1985;28154
4;K;1986;26188
4;K;1987;25969
4;K;1988;25265
4;K;1989;25701
4;K;1990;26768
4;K;1991;27281
4;K;1992;27534
4;K;1993;28912
4;K;1994;30338
4;K;1995;31361
4;K;1996;32038
4;K;1997;33614
4;K;1998;33485
4;K;1999;34790
4;K;2000;34542
4;K;2001;33387
4;K;2002;33369
4;K;2003;32745
4;K;2004;32842
4;K;2005;33128
4;K;2006;32204
4;K;2007;31429
4;K;2008;31865
4;K;2009;32004
4;K;2010;32120
4;K;2011;32323
4;K;2012;31947
4;K;2013;32239
4;K;2014;31195
4;K;2015;31643
4;K;2016;29924
4;K;2017;29187
4;K;2018;28451
4;K;2019;28641
4;K;2020;29084
4;K;2021;30442
4;K;2022;30389
4;K;2023;30468
5;M;1980;36275
5;M;1981;36689
5;M;1982;33664
5;M;1983;31702
5;M;1984;31785
5;M;1985;30323
5;M;1986;29307
5;M;1987;27218
5;M;1988;27343
5;M;1989;26288
5;M;1990;26936
5;M;1991;27896
5;M;1992;28854
5;M;1993;29437
5;M;1994;30750
5;M;1995;31898
5;M;1996;33281
5;M;1997;33807
5;M;1998;35589
5;M;1999;35286
5;M;2000;36430
5;M;2001;36592
5;M;2002;35375
5;M;2003;35272
5;M;2004;34500
5;M;2005;34256
5;M;2006;34585
5;M;2007;33562
5;M;2008;33269
5;M;2009;33513
5;M;2010;33465
5;M;2011;33361
5;M;2012;34137
5;M;2013;33629
5;M;2014;34421
5;M;2015;33171
5;M;2016;33643
5;M;2017;31315
5;M;2018;31183
5;M;2019;29828
5;M;2020;30308
5;M;2021;30627
5;M;2022;32434
5;M;2023;32299
5;K;1980;34876
5;K;1981;35503
5;K;1982;31842
5;K;1983;30349
5;K;1984;30327
5;K;1985;29096
5;K;1986;28192
5;K;1987;26261
5;K;1988;26064
5;K;1989;25301
5;K;1990;25739
5;K;1991;26816
5;K;1992;27391
5;K;1993;27611
5;K;1994;29002
5;K;1995;30438
5;K;1996;31612
5;K;1997;32180
5;K;1998;33692
5;K;1999;33569
5;K;2000;34832
5;K;2001;34615
5;K;2002;33501
5;K;2003;33434
5;K;2004;32783
5;K;2005;32804
5;K;2006;33088
5;K;2007;32188
5;K;2008;31442
5;K;2009;31926
5;K;2010;32081
5;K;2011;32171
5;K;2012;32369
5;K;2013;32014
5;K;2014;32321
5;K;2015;31375
5;K;2016;31973
5;K;2017;30169
5;K;2018;29295
5;K;2019;28524
5;K;2020;28685
5;K;2021;29113
5;K;2022;30459
5;K;2023;30709
6;M;1980;36550
6;M;1981;36293
6;M;1982;36618
6;M;1983;33650
6;M;1984;31711
6;M;1985;31787
6;M;1986;30395
6;M;1987;29376
6;M;1988;27323
6;M;1989;27388
6;M;1990;26358
6;M;1991;27019
6;M;1992;27992
6;M;1993;28973
6;M;1994;29492
6;M;1995;30863
6;M;1996;32202
6;M;1997;33469
6;M;1998;33904
6;M;1999;35687
6;M;2000;35325
6;M;2001;36573
6;M;2002;36720
6;M;2003;35469
6;M;2004;35313
6;M;2005;34502
6;M;2006;34189
6;M;2007;34582
6;M;2008;33615
6;M;2009;33328
6;M;2010;33553
6;M;2011;33556
6;M;2012;33419
6;M;2013;34197
6;M;2014;33742
6;M;2015;34598
6;M;2016;33495
6;M;2017;33846
6;M;2018;31402
6;M;2019;31250
6;M;2020;29872
6;M;2021;30350
6;M;2022;30679
6;M;2023;32844
6;K;1980;34990
6;K;1981;34920
6;K;1982;35489
6;K;1983;31821
6;K;1984;30351
6;K;1985;30352
6;K;1986;29142
6;K;1987;28288
6;K;1988;26365
6;K;1989;26081
6;K;1990;25374
6;K;1991;25823
6;K;1992;26927
6;K;1993;27473
6;K;1994;27719
6;K;1995;29105
6;K;1996;30692
6;K;1997;31781
6;K;1998;32235
6;K;1999;33746
6;K;2000;33589
6;K;2001;34882
6;K;2002;34741
6;K;2003;33613
6;K;2004;33472
6;K;2005;32784
6;K;2006;32785
6;K;2007;33059
6;K;2008;32210
6;K;2009;31511
6;K;2010;31981
6;K;2011;32091
6;K;2012;32178
6;K;2013;32437
6;K;2014;32080
6;K;2015;32485
6;K;2016;31652
6;K;2017;32201
6;K;2018;30303
6;K;2019;29390
6;K;2020;28543
6;K;2021;28714
6;K;2022;29160
6;K;2023;30808
7;M;1980;38221
7;M;1981;36529
7;M;1982;36234
7;M;1983;36602
7;M;1984;33650
7;M;1985;31742
7;M;1986;31836
7;M;1987;30463
7;M;1988;29455
7;M;1989;27313
7;M;1990;27436
7;M;1991;26423
7;M;1992;27136
7;M;1993;28136
7;M;1994;29058
7;M;1995;29539
7;M;1996;31123
7;M;1997;32368
7;M;1998;33577
7;M;1999;33970
7;M;2000;35730
7;M;2001;35447
7;M;2002;36684
7;M;2003;36804
7;M;2004;35522
7;M;2005;35305
7;M;2006;34507
7;M;2007;34181
7;M;2008;34593
7;M;2009;33661
7;M;2010;33373
7;M;2011;33579
7;M;2012;33577
7;M;2013;33446
7;M;2014;34266
7;M;2015;33877
7;M;2016;34918
7;M;2017;33738
7;M;2018;33940
7;M;2019;31439
7;M;2020;31307
7;M;2021;29944
7;M;2022;30391
7;M;2023;31121
7;K;1980;36846
7;K;1981;35003
7;K;1982;34921
7;K;1983;35447
7;K;1984;31808
7;K;1985;30343
7;K;1986;30379
7;K;1987;29185
7;K;1988;28350
7;K;1989;26431
7;K;1990;26125
7;K;1991;25434
7;K;1992;25945
7;K;1993;27037
7;K;1994;27574
7;K;1995;27802
7;K;1996;29377
7;K;1997;30832
7;K;1998;31863
7;K;1999;32284
7;K;2000;33762
7;K;2001;33682
7;K;2002;35001
7;K;2003;34800
7;K;2004;33643
7;K;2005;33486
7;K;2006;32730
7;K;2007;32728
7;K;2008;33088
7;K;2009;32289
7;K;2010;31568
7;K;2011;32004
7;K;2012;32116
7;K;2013;32230
7;K;2014;32496
7;K;2015;32245
7;K;2016;32763
7;K;2017;31898
7;K;2018;32296
7;K;2019;30359
7;K;2020;29438
7;K;2021;28607
7;K;2022;28774
7;K;2023;29610
8;M;1980;38484
8;M;1981;38218
8;M;1982;36480
8;M;1983;36194
8;M;1984;36565
8;M;1985;33676
8;M;1986;31756
8;M;1987;31929
8;M;1988;30541
8;M;1989;29453
8;M;1990;27373
8;M;1991;27502
8;M;1992;26497
8;M;1993;27188
8;M;1994;28192
8;M;1995;29151
8;M;1996;29823
8;M;1997;31305
8;M;1998;32481
8;M;1999;33716
8;M;2000;34018
8;M;2001;35825
8;M;2002;35547
8;M;2003;36789
8;M;2004;36850
8;M;2005;35501
8;M;2006;35267
8;M;2007;34472
8;M;2008;34174
8;M;2009;34634
8;M;2010;33671
8;M;2011;33427
8;M;2012;33649
8;M;2013;33628
8;M;2014;33567
8;M;2015;34436
8;M;2016;34180
8;M;2017;35147
8;M;2018;33872
8;M;2019;34033
8;M;2020;31510
8;M;2021;31371
8;M;2022;30018
8;M;2023;30841
8;K;1980;36330
8;K;1981;36845
8;K;1982;34980
8;K;1983;34877
8;K;1984;35407
8;K;1985;31784
8;K;1986;30387
8;K;1987;30444
8;K;1988;29264
8;K;1989;28377
8;K;1990;26492
8;K;1991;26186
8;K;1992;25536
8;K;1993;26017
8;K;1994;27098
8;K;1995;27634
8;K;1996;28090
8;K;1997;29542
8;K;1998;30926
8;K;1999;31951
8;K;2000;32343
8;K;2001;33848
8;K;2002;33766
8;K;2003;35075
8;K;2004;34850
8;K;2005;33722
8;K;2006;33471
8;K;2007;32715
8;K;2008;32765
8;K;2009;33132
8;K;2010;32305
8;K;2011;31612
8;K;2012;32018
8;K;2013;32173
8;K;2014;32294
8;K;2015;32617
8;K;2016;32492
8;K;2017;32974
8;K;2018;31999
8;K;2019;32353
8;K;2020;30416
8;K;2021;29527
8;K;2022;28665
8;K;2023;29203
9;M;1980;36180
9;M;1981;38485
9;M;1982;38191
9;M;1983;36458
9;M;1984;36210
9;M;1985;36577
9;M;1986;33684
9;M;1987;31821
9;M;1988;32014
9;M;1989;30579
9;M;1990;29540
9;M;1991;27440
9;M;1992;27609
9;M;1993;26602
9;M;1994;27260
9;M;1995;28304
9;M;1996;29405
9;M;1997;29993
9;M;1998;31405
9;M;1999;32578
9;M;2000;33765
9;M;2001;34125
9;M;2002;35939
9;M;2003;35626
9;M;2004;36796
9;M;2005;36846
9;M;2006;35502
9;M;2007;35271
9;M;2008;34534
9;M;2009;34232
9;M;2010;34689
9;M;2011;33693
9;M;2012;33447
9;M;2013;33695
9;M;2014;33739
9;M;2015;33709
9;M;2016;34688
9;M;2017;34430
9;M;2018;35294
9;M;2019;33963
9;M;2020;34130
9;M;2021;31587
9;M;2022;31453
9;M;2023;30409
9;K;1980;34598
9;K;1981;36348
9;K;1982;36807
9;K;1983;34956
9;K;1984;34853
9;K;1985;35453
9;K;1986;31853
9;K;1987;30430
9;K;1988;30510
9;K;1989;29257
9;K;1990;28423
9;K;1991;26593
9;K;1992;26277
9;K;1993;25613
9;K;1994;26090
9;K;1995;27159
9;K;1996;27885
9;K;1997;28236
9;K;1998;29645
9;K;1999;31004
9;K;2000;32010
9;K;2001;32469
9;K;2002;33979
9;K;2003;33860
9;K;2004;35151
9;K;2005;34856
9;K;2006;33691
9;K;2007;33458
9;K;2008;32749
9;K;2009;32849
9;K;2010;33188
9;K;2011;32373
9;K;2012;31638
9;K;2013;32071
9;K;2014;32220
9;K;2015;32434
9;K;2016;32821
9;K;2017;32725
9;K;2018;33097
9;K;2019;32114
9;K;2020;32392
9;K;2021;30520
9;K;2022;29581
9;K;2023;29065
10;M;1980;36498
10;M;1981;36201
10;M;1982;38479
10;M;1983;38180
10;M;1984;36449
10;M;1985;36235
10;M;1986;36630
10;M;1987;33744
10;M;1988;31904
10;M;1989;32051
10;M;1990;30629
10;M;1991;29636
10;M;1992;27558
10;M;1993;27730
10;M;1994;26672
10;M;1995;27348
10;M;1996;28565
10;M;1997;29553
10;M;1998;30101
10;M;1999;31485
10;M;2000;32654
10;M;2001;33875
10;M;2002;34265
10;M;2003;36026
10;M;2004;35701
10;M;2005;36823
10;M;2006;36842
10;M;2007;35509
10;M;2008;35332
10;M;2009;34601
10;M;2010;34294
10;M;2011;34729
10;M;2012;33741
10;M;2013;33498
10;M;2014;33751
10;M;2015;33886
10;M;2016;33963
10;M;2017;34893
10;M;2018;34533
10;M;2019;35361
10;M;2020;34062
10;M;2021;34216
10;M;2022;31685
10;M;2023;31897
10;K;1980;34495
10;K;1981;34621
10;K;1982;36340
10;K;1983;36809
10;K;1984;34951
10;K;1985;34867
10;K;1986;35470
10;K;1987;31923
10;K;1988;30491
10;K;1989;30567
10;K;1990;29292
10;K;1991;28496
10;K;1992;26658
10;K;1993;26358
10;K;1994;25669
10;K;1995;26176
10;K;1996;27433
10;K;1997;28100
10;K;1998;28299
10;K;1999;29756
10;K;2000;31093
10;K;2001;32125
10;K;2002;32574
10;K;2003;34040
10;K;2004;33908
10;K;2005;35178
10;K;2006;34823
10;K;2007;33675
10;K;2008;33495
10;K;2009;32821
10;K;2010;32922
10;K;2011;33225
10;K;2012;32399
10;K;2013;31669
10;K;2014;32158
10;K;2015;32413
10;K;2016;32656
10;K;2017;33014
10;K;2018;32820
10;K;2019;33180
10;K;2020;32192
10;K;2021;32480
10;K;2022;30597
10;K;2023;29970
11;M;1980;37985
11;M;1981;36511
11;M;1982;36200
11;M;1983;38455
11;M;1984;38202
11;M;1985;36470
11;M;1986;36269
11;M;1987;36676
11;M;1988;33836
11;M;1989;31903
11;M;1990;32083
11;M;1991;30719
11;M;1992;29760
11;M;1993;27661
11;M;1994;27794
11;M;1995;26755
11;M;1996;27651
11;M;1997;28731
11;M;1998;29651
11;M;1999;30189
11;M;2000;31586
11;M;2001;32768
11;M;2002;34038
11;M;2003;34398
11;M;2004;36089
11;M;2005;35742
11;M;2006;36826
11;M;2007;36845
11;M;2008;35555
11;M;2009;35378
11;M;2010;34644
11;M;2011;34343
11;M;2012;34791
11;M;2013;33797
11;M;2014;33562
11;M;2015;33909
11;M;2016;34105
11;M;2017;34129
11;M;2018;35009
11;M;2019;34617
11;M;2020;35382
11;M;2021;34186
11;M;2022;34286
11;M;2023;32088
11;K;1980;35859
11;K;1981;34494
11;K;1982;34627
11;K;1983;36342
11;K;1984;36822
11;K;1985;34976
11;K;1986;34879
11;K;1987;35525
11;K;1988;31959
11;K;1989;30538
11;K;1990;30615
11;K;1991;29370
11;K;1992;28597
11;K;1993;26743
11;K;1994;26427
11;K;1995;25731
11;K;1996;26436
11;K;1997;27570
11;K;1998;28160
11;K;1999;28391
11;K;2000;29824
11;K;2001;31199
11;K;2002;32257
11;K;2003;32666
11;K;2004;34097
11;K;2005;33953
11;K;2006;35166
11;K;2007;34849
11;K;2008;33737
11;K;2009;33605
11;K;2010;32890
11;K;2011;32980
11;K;2012;33299
11;K;2013;32476
11;K;2014;31749
11;K;2015;32302
11;K;2016;32598
11;K;2017;32858
11;K;2018;33146
11;K;2019;32909
11;K;2020;33267
11;K;2021;32242
11;K;2022;32559
11;K;2023;31026
12;M;1980;41131
12;M;1981;38026
12;M;1982;36517
12;M;1983;36184
12;M;1984;38471
12;M;1985;38223
12;M;1986;36516
12;M;1987;36356
12;M;1988;36756
12;M;1989;33878
12;M;1990;31956
12;M;1991;32148
12;M;1992;30795
12;M;1993;29860
12;M;1994;27727
12;M;1995;27874
12;M;1996;27002
12;M;1997;27790
12;M;1998;28791
12;M;1999;29765
12;M;2000;30246
12;M;2001;31698
12;M;2002;32936
12;M;2003;34172
12;M;2004;34462
12;M;2005;36125
12;M;2006;35749
12;M;2007;36867
12;M;2008;36924
12;M;2009;35631
12;M;2010;35439
12;M;2011;34687
12;M;2012;34400
12;M;2013;34841
12;M;2014;33874
12;M;2015;33665
12;M;2016;34130
12;M;2017;34281
