"Jahr","Alter","Geschlecht","value"
"1860","Alter - Total","Geschlecht - Total",2515396
"1861","Alter - Total","Geschlecht - Total",2533077
"1862","Alter - Total","Geschlecht - Total",2554257
"1863","Alter - Total","Geschlecht - Total",2575649
"1864","Alter - Total","Geschlecht - Total",2594555
"1865","Alter - Total","Geschlecht - Total",2611102
"1866","Alter - Total","Geschlecht - Total",2625400
"1867","Alter - Total","Geschlecht - Total",2637538
"1868","Alter - Total","Geschlecht - Total",2647583
"1869","Alter - Total","Geschlecht - Total",2657614
"1870","Alter - Total","Geschlecht - Total",2673468
"1871","Alter - Total","Geschlecht - Total",2686618
"1872","Alter - Total","Geschlecht - Total",2701982
"1873","Alter - Total","Geschlecht - Total",2718108
"1874","Alter - Total","Geschlecht - Total",2733487
"1875","Alter - Total","Geschlecht - Total",2749393
"1876","Alter - Total","Geschlecht - Total",2767666
"1877","Alter - Total","Geschlecht - Total",2785514
"1878","Alter - Total","Geschlecht - Total",2802222
"1879","Alter - Total","Geschlecht - Total",2817307
"1880","Alter - Total","Geschlecht - Total",2840501
"1881","Alter - Total","Geschlecht - Total",2851255
"1882","Alter - Total","Geschlecht - Total",2860234
"1883","Alter - Total","Geschlecht - Total",2871264
"1884","Alter - Total","Geschlecht - Total",2883670
"1885","Alter - Total","Geschlecht - Total",2892184
"1886","Alter - Total","Geschlecht - Total",2901605
"1887","Alter - Total","Geschlecht - Total",2911233
"1888","Alter - Total","Geschlecht - Total",2922897
"1889","Alter - Total","Geschlecht - Total",2949577
"1890","Alter - Total","Geschlecht - Total",2972024
"1891","Alter - Total","Geschlecht - Total",3000632
"1892","Alter - Total","Geschlecht - Total",3032945
"1893","Alter - Total","Geschlecht - Total",3063218
"1894","Alter - Total","Geschlecht - Total",3091585
"1895","Alter - Total","Geschlecht - Total",3122589
"1896","Alter - Total","Geschlecht - Total",3161271
"1897","Alter - Total","Geschlecht - Total",3201298
"1898","Alter - Total","Geschlecht - Total",3240943
"1899","Alter - Total","Geschlecht - Total",3282407
"1900","Alter - Total","Geschlecht - Total",3318985
"1901","Alter - Total","Geschlecht - Total",3364073
"1902","Alter - Total","Geschlecht - Total",3411135
"1903","Alter - Total","Geschlecht - Total",3453716
"1904","Alter - Total","Geschlecht - Total",3496188
"1905","Alter - Total","Geschlecht - Total",3536835
"1906","Alter - Total","Geschlecht - Total",3582151
"1907","Alter - Total","Geschlecht - Total",3625456
"1908","Alter - Total","Geschlecht - Total",3671165
"1909","Alter - Total","Geschlecht - Total",3711868
"1910","Alter - Total","Geschlecht - Total",3756842
"1911","Alter - Total","Geschlecht - Total",3778312
"1912","Alter - Total","Geschlecht - Total",3805595
"1913","Alter - Total","Geschlecht - Total",3828431
"1914","Alter - Total","Geschlecht - Total",3849766
"1915","Alter - Total","Geschlecht - Total",3860635
"1916","Alter - Total","Geschlecht - Total",3871760
"1917","Alter - Total","Geschlecht - Total",3878896
"1918","Alter - Total","Geschlecht - Total",3864844
"1919","Alter - Total","Geschlecht - Total",3869481
"1920","Alter - Total","Geschlecht - Total",3883360
"1921","Alter - Total","Geschlecht - Total",3908521
"1922","Alter - Total","Geschlecht - Total",3928566
"1923","Alter - Total","Geschlecht - Total",3952134
"1924","Alter - Total","Geschlecht - Total",3970682
"1925","Alter - Total","Geschlecht - Total",3989227
"1926","Alter - Total","Geschlecht - Total",4009537
"1927","Alter - Total","Geschlecht - Total",4024345
"1928","Alter - Total","Geschlecht - Total",4040177
"1929","Alter - Total","Geschlecht - Total",4052557
"1930","Alter - Total","Geschlecht - Total",4070042
"1931","Alter - Total","Geschlecht - Total",4091602
"1932","Alter - Total","Geschlecht - Total",4110388
"1933","Alter - Total","Geschlecht - Total",4136343
"1934","Alter - Total","Geschlecht - Total",4159698
"1935","Alter - Total","Geschlecht - Total",4178640
"1936","Alter - Total","Geschlecht - Total",4198782
"1937","Alter - Total","Geschlecht - Total",4217126
"1938","Alter - Total","Geschlecht - Total",4235430
"1939","Alter - Total","Geschlecht - Total",4252902
"1940","Alter - Total","Geschlecht - Total",4268964
"1941","Alter - Total","Geschlecht - Total",4296693
"1942","Alter - Total","Geschlecht - Total",4326774
"1943","Alter - Total","Geschlecht - Total",4360681
"1944","Alter - Total","Geschlecht - Total",4392319
"1945","Alter - Total","Geschlecht - Total",4428117
"1946","Alter - Total","Geschlecht - Total",4490000
"1947","Alter - Total","Geschlecht - Total",4549100
"1948","Alter - Total","Geschlecht - Total",4611200
"1949","Alter - Total","Geschlecht - Total",4668000
"1950","Alter - Total","Geschlecht - Total",4717200
"1951","Alter - Total","Geschlecht - Total",4778900
"1952","Alter - Total","Geschlecht - Total",4844100
"1953","Alter - Total","Geschlecht - Total",4907000
