category,transwomen,transmen,total
total_study_population,4432,2361,6793
adults_gte_18,3809,1624,5433
adults_age_median,33,25,31
adults_age_lq,25,21,31
adults_age_uq,42,35,41
adults_started_ht,0.689,0.729,0.699
adults_gonadectomy,0.753,0.838,0.777
adolescents_12_18,330,482,812
adolescents_age_median,16,16,16
adolescents_age_lq,15,15,15
adolescents_age_uq,17,17,17
adolescents_started_ps,0.287,0.508,0.41
adolescents_stopped_ps,0.041,0.007,0.019
adolescents_started_ht_wo_ps,0.339,0.308,0.322
adolescents_gonadectomy,0.795,0.772,0.782
children_lt_12,293,255,548
children_age_median,8,9,9
children_age_lq,7,8,7
children_age_uq,10,11,10
children_started_ps,0.336,0.491,0.403
regret,11,3,14







