,year,males_12_17,females_12_17,males_0_11,females_0_11,total_12_17,total_0_11
2006-01-01,2006-01-01,0,3,3,12,3,15
2007-01-01,2007-01-01,0,3,3,7,3,10
2008-01-01,2008-01-01,3,3,4,20,6,24
2009-01-01,2009-01-01,3,13,5,12,16,17
2010-01-01,2010-01-01,3,16,5,8,19,13
2011-01-01,2011-01-01,3,16,7,24,19,31
2012-01-01,2012-01-01,9,21,3,16,30,19
2013-01-01,2013-01-01,3,34,6,27,37,33
2014-01-01,2014-01-01,14,19,3,31,33,34
2015-01-01,2015-01-01,18,30,9,37,48,46
2016-01-01,2016-01-01,30,26,1,43,56,44
2017-01-01,2017-01-01,60,51,8,31,111,39
2018-01-01,2018-01-01,39,45,7,41,84,48
2019-01-01,2019-01-01,68,56,12,62,124,74
2020-01-01,2020-01-01,59,71,19,64,130,83
2021-01-01,2021-01-01,66,82,18,103,148,121
2022-01-01,2022-01-01,57,61,21,91,118,112
2023-01-01,2023-01-01,46,65,14,50,111,64
