,year,males_0_11,females_0_11,total_0_11,males_12_17,females_12_17,total_12_17,gd_cumulative_incidence,pop_12_17,pop_6_17,pop_period_start_2008,pop_period_start_2009,pop_period_start_2016,pop_period_start_2017,pop_period_start_6_17_2017,cum_inc_per_12_17_100k_2008,cum_inc_per_12_17_100k_2009,cum_inc_2017_2021,cum_inc_per_12_17_100k_2017
2006-01-01,2006-01-01,3,12,15,0,3,3,,380240,735710,378270,373640,365710,368340,750580,,,,
2007-01-01,2007-01-01,3,7,10,0,3,3,,380620,736510,378270,373640,365710,368340,750580,,,,
2008-01-01,2008-01-01,4,20,24,3,3,6,,378270,732750,378270,373640,365710,368340,750580,,,,
2009-01-01,2009-01-01,5,12,17,3,13,16,,373640,726390,378270,373640,365710,368340,750580,,,,
2010-01-01,2010-01-01,5,8,13,3,16,19,19.00,370850,723720,378270,373640,365710,368340,750580,5.02,5.09,,
2011-01-01,2011-01-01,7,24,31,3,16,19,38.00,369430,722560,378270,373640,365710,368340,750580,10.05,10.17,,
2012-01-01,2012-01-01,3,16,19,9,21,30,68.00,368300,719520,378270,373640,365710,368340,750580,17.98,18.20,,
2013-01-01,2013-01-01,6,27,33,3,34,37,105.00,368990,718650,378270,373640,365710,368340,750580,27.76,28.10,,
2014-01-01,2014-01-01,3,31,34,14,19,33,138.00,366930,721590,378270,373640,365710,368340,750580,36.48,36.93,,
2015-01-01,2015-01-01,9,37,46,18,30,48,186.00,365340,728800,378270,373640,365710,368340,750580,49.17,49.78,,
2016-01-01,2016-01-01,1,43,44,30,26,56,242.00,365710,738160,378270,373640,365710,368340,750580,63.98,64.77,,
2017-01-01,2017-01-01,8,31,39,60,51,111,353.00,368340,750580,378270,373640,365710,368340,750580,93.32,94.48,353.00,95.84
2018-01-01,2018-01-01,7,41,48,39,45,84,437.00,370580,761090,378270,373640,365710,368340,750580,115.53,116.96,790.00,214.48
2019-01-01,2019-01-01,12,62,74,68,56,124,561.00,372890,769800,378270,373640,365710,368340,750580,148.31,150.14,1351.00,366.78
2020-01-01,2020-01-01,19,64,83,59,71,130,691.00,380350,780010,378270,373640,365710,368340,750580,182.67,184.94,2042.00,554.38
2021-01-01,2021-01-01,18,103,121,66,82,148,839.00,387240,786470,378270,373640,365710,368340,750580,221.80,224.55,2881.00,782.16
2022-01-01,2022-01-01,21,91,112,57,61,118,957.00,392760,788620,378270,373640,365710,368340,750580,252.99,256.13,,
2023-01-01,2023-01-01,14,50,64,46,65,111,1068.00,402030,796640,378270,373640,365710,368340,750580,282.34,285.84,,
