,years,males_0_17,unknown_0_17,females_0_17,males_12_17,females_12_17,gnrha_prevalence_12_17,gnrha_prevalence_0_17,males_0_11,females_0_11,gnrha_prevalence_GD_12_17,3yr_duration_incidence,4yr_duration_incidence,5yr_duration_incidence,cumsum_3,cumsum_4,cumsum_5,pop_12_17,pop_6_17,pop_period_start_2008,pop_period_start_2009,pop_period_start_2016,pop_period_start_2017,pop_period_start_6_17_2017,cum_3yr_inc_per_12_17_100k_2008,cum_3yr_inc_per_12_17_100k_2009,cum_4yr_inc_per_12_17_100k_2008,cum_4yr_inc_per_12_17_100k_2009,cumsum_3_2017_2021,cum_3yr_inc_per_12_17_100k_2017
2006-01-01,2006-01-01,13,0,61,3,18,21,74,10,43,0,0,0,0,0,0,0,380240,,378270,373640,365710,368340,,0.00,0.00,0.00,0.00,,
2007-01-01,2007-01-01,8,0,55,3,14,17,63,5,41,0,0,0,0,0,0,0,380620,,378270,373640,365710,368340,,0.00,0.00,0.00,0.00,,
2008-01-01,2008-01-01,15,0,58,3,12,15,73,12,46,0,0,0,0,0,0,0,378270,,378270,373640,365710,368340,,0.00,0.00,0.00,0.00,,
2009-01-01,2009-01-01,18,0,67,3,21,24,85,15,46,0,0,0,0,0,0,0,373640,,378270,373640,365710,368340,,0.00,0.00,0.00,0.00,,
2010-01-01,2010-01-01,23,0,71,7,26,33,94,16,45,33,33,33,33,33,33,33,370850,,378270,373640,365710,368340,,8.72,8.83,8.72,8.83,,
2011-01-01,2011-01-01,28,0,89,14,34,48,117,14,55,48,15,15,15,48,48,48,369430,,378270,373640,365710,368340,,12.69,12.85,12.69,12.85,,
2012-01-01,2012-01-01,34,0,97,22,40,62,131,12,57,62,14,14,14,62,62,62,368300,,378270,373640,365710,368340,,16.39,16.59,16.39,16.59,,
2013-01-01,2013-01-01,37,3,131,27,57,87,168,10,74,87,58,25,25,120,87,87,368990,,378270,373640,365710,368340,,31.72,32.12,23.00,23.28,,
2014-01-01,2014-01-01,44,6,140,38,52,96,184,6,88,96,24,42,9,144,129,96,366930,,378270,373640,365710,368340,,38.07,38.54,34.10,34.53,,
2015-01-01,2015-01-01,55,6,174,42,69,117,229,13,105,117,35,36,54,179,165,150,365340,,378270,373640,365710,368340,,47.32,47.91,43.62,44.16,,
2016-01-01,2016-01-01,62,6,192,54,72,132,254,8,120,132,73,29,30,252,194,180,365710,,378270,373640,365710,368340,,66.62,67.44,51.29,51.92,73.00,19.82
2017-01-01,2017-01-01,107,7,221,97,100,204,328,10,121,204,96,97,86,348,291,266,368340,,378270,373640,365710,368340,,92.00,93.14,76.93,77.88,169.00,45.88
2018-01-01,2018-01-01,122,12,234,106,116,234,356,16,118,234,65,72,55,413,363,321,370580,,378270,373640,365710,368340,,109.18,110.53,95.96,97.15,234.00,63.53
2019-01-01,2019-01-01,156,10,276,137,133,280,432,19,143,280,119,82,55,532,445,376,372890,,378270,373640,365710,368340,,140.64,142.38,117.64,119.10,353.00,95.84
2020-01-01,2020-01-01,185,23,322,153,164,340,507,32,158,340,156,89,114,688,534,490,380350,,378270,373640,365710,368340,,181.88,184.13,141.17,142.92,509.00,138.19
2021-01-01,2021-01-01,215,22,426,186,205,413,641,29,221,413,138,170,103,826,704,593,387240,,378270,373640,365710,368340,,218.36,221.07,186.11,188.42,,
2022-01-01,2022-01-01,236,27,459,196,220,443,695,40,239,443,149,102,116,975,806,709,392760,,378270,373640,365710,368340,,257.75,260.95,213.08,215.72,,
