year,f_0_9,f_10_12,f_13_17,m_0_9,m_10_12,m_13_17
2006-01-01,40.0,23.0,20.0,25.0,10.0,5.0
2007-01-01,46.0,20.0,20.0,15.0,5.0,5.0
2008-01-01,46.0,22.0,10.0,25.0,10.0,5.0
2009-01-01,35.0,21.0,25.0,20.0,15.0,10.0
2010-01-01,40.0,22.0,25.0,15.0,15.0,20.0
2011-01-01,40.0,27.0,31.0,10.0,15.0,20.0
2012-01-01,56.0,30.0,36.0,10.0,15.0,25.0
2013-01-01,64.0,34.0,51.0,15.0,20.0,34.0
2014-01-01,56.0,56.0,48.0,20.0,15.0,31.0
2015-01-01,72.0,63.0,62.0,15.0,15.0,46.0
2016-01-01,70.0,75.0,79.0,15.0,15.0,66.0
2017-01-01,69.0,80.0,110.0,10.0,15.0,103.0
2018-01-01,75.0,96.0,135.0,10.0,15.0,129.0
2019-01-01,92.0,95.0,131.0,10.0,21.0,128.0
2020-01-01,111.0,121.0,188.0,20.0,40.0,183.0
