year,Female,Gender diverse,Male,Unknown,total_gnrha,updated,pop_f_12_17,pop_m_12_17,pop_12_17,rate_per_100k,mean_rate_2006_2009,other_n,total_gnrha_gd,3yr_duration_incidence,4yr_duration_incidence,5yr_duration_incidence,cumsum_3,cumsum_4,cumsum_5,pop_6_17,pop_period_start_2008,pop_period_start_2009,pop_period_start_2017,pop_period_start_6_17_2017,cum_3yr_inc_per_12_17_100k_2008,cum_3yr_inc_per_12_17_100k_2009,cum_4yr_inc_per_12_17_100k_2008,cum_4yr_inc_per_12_17_100k_2009,cumsum_3_2017_2021,cum_3yr_inc_per_12_17_100k_2017,prev_per_12_17_100k
2006-01-01,25.00,0.00,10.00,0.00,35,,186600,194860,381460,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,737190,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2007-01-01,25.00,0.00,5.00,0.00,30,,186310,193680,379980,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,735430,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2008-01-01,15.00,0.00,10.00,0.00,25,,184090,192180,376290,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,729700,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2009-01-01,30.00,0.00,15.00,0.00,45,,181910,189580,371490,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,724130,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2010-01-01,30.00,0.00,25.00,0.00,55,,181320,189310,370630,,,,,,,,,,,723770,376290,371490,369700,756450,,,,,,,
2011-01-01,41.00,0.00,25.00,0.00,66,,179790,188710,368510,,,,,,,,,,,721190,376290,371490,369700,756450,,,,,,,
2012-01-01,41.00,0.00,30.00,0.00,71,,179590,189480,369090,,,,,,,,,,,719000,376290,371490,369700,756450,,,,,,,
2013-01-01,56.00,0.00,44.00,0.00,100,,179130,189330,368470,,,,,,,,,,,719450,376290,371490,369700,756450,,,,,,,
2014-01-01,60.00,0.00,36.00,0.00,96,,178380,187480,365860,,,,,,,,,,,724890,376290,371490,369700,756450,,,,,,,
2015-01-01,76.00,0.00,51.00,0.00,127,,177920,187380,365300,,,,,,,,,,,732880,376290,371490,369700,756450,,,,,,,
2016-01-01,100.00,0.00,71.00,0.00,171,,178690,188270,366940,,,,,,,,,,,744190,376290,371490,369700,756450,,,,,,,
2017-01-01,125.00,0.00,108.00,1.00,234,,180120,189580,369700,,,,,,,,,,,756450,376290,371490,369700,756450,,,,,,,
2018-01-01,162.00,0.00,134.00,3.00,299,,181010,190510,371520,,,,,,,,,,,765350,376290,371490,369700,756450,,,,,,,
2019-01-01,160.00,0.00,133.00,3.00,296,,183100,192950,376030,,,,,,,,,,,774370,376290,371490,369700,756450,,,,,,,
2020-01-01,213.00,2.00,203.00,5.00,423,,187260,197480,384740,,,,,,,,,,,784940,376290,371490,369700,756450,,,,,,,
