year,Female,Gender diverse,Male,Unknown,total_gnrha,gnrha_9_11,updated,pop_f_12_17,pop_m_12_17,pop_12_17,rate_per_100k,mean_rate_2006_2009,other_n,total_gnrha_gd,3yr_duration_incidence,4yr_duration_incidence,5yr_duration_incidence,cumsum_3,cumsum_4,cumsum_5,pop_6_17,pop_period_start_2008,pop_period_start_2009,pop_period_start_2017,pop_period_start_6_17_2017,cum_3yr_inc_per_12_17_100k_2008,cum_3yr_inc_per_12_17_100k_2009,cum_4yr_inc_per_12_17_100k_2008,cum_4yr_inc_per_12_17_100k_2009,cumsum_3_2017_2021,cum_3yr_inc_per_12_17_100k_2017,prev_per_12_17_100k
2006-01-01,25.00,0.00,10.00,0.00,35,33,21,186600,194860,381460,5.505164368479002,5.11,19,0,0,0,0,0,0,0,737190,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2007-01-01,25.00,0.00,5.00,0.00,30,36,17,186310,193680,379980,4.473919679983157,5.11,19,0,0,0,0,0,0,0,735430,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2008-01-01,15.00,0.00,10.00,0.00,25,38,15,184090,192180,376290,3.98628717212788,5.11,19,0,0,0,0,0,0,0,729700,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2009-01-01,30.00,0.00,15.00,0.00,45,36,24,181910,189580,371490,6.4604699991924415,5.11,19,0,0,0,0,0,0,0,724130,376290,371490,369700,756450,0.00,0.00,0.00,0.00,,,0.0
2010-01-01,30.00,0.00,25.00,0.00,55,37,33,181320,189310,370630,8.903758465315812,5.11,19,33,33,33,33,33,33,33,723770,376290,371490,369700,756450,8.77,8.88,8.77,8.88,,,8.903758465315812
2011-01-01,41.00,0.00,25.00,0.00,66,32,48,179790,188710,368510,13.025426718406557,5.11,19,48,15,15,15,48,48,48,721190,376290,371490,369700,756450,12.76,12.92,12.76,12.92,,,13.025426718406557
2012-01-01,41.00,0.00,30.00,0.00,71,49,62,179590,189480,369090,16.79807093120919,5.11,19,62,14,14,14,62,62,62,719000,376290,371490,369700,756450,16.48,16.69,16.48,16.69,,,16.79807093120919
2013-01-01,56.00,0.00,44.00,0.00,100,65,84,179130,189330,368470,22.79697125953266,5.11,19,84,55,22,22,117,84,84,719450,376290,371490,369700,756450,31.09,31.49,22.32,22.61,,,22.79697125953266
2014-01-01,60.00,0.00,36.00,0.00,96,76,90,178380,187480,365860,24.599573607390802,5.11,19,90,21,39,6,138,123,90,724890,376290,371490,369700,756450,36.67,37.15,32.69,33.11,,,24.599573607390802
2015-01-01,76.00,0.00,51.00,0.00,127,82,111,177920,187380,365300,30.38598412263893,5.11,19,111,35,36,54,173,159,144,732880,376290,371490,369700,756450,45.98,46.57,42.25,42.80,,,30.38598412263893
2016-01-01,100.00,0.00,71.00,0.00,171,104,126,178690,188270,366940,34.338038916444106,5.11,19,126,70,29,30,243,188,174,744190,376290,371490,369700,756450,64.58,65.41,49.96,50.61,70.00,18.93,34.338038916444106
2017-01-01,125.00,0.00,108.00,1.00,234,102,197,180120,189580,369700,53.28644847173384,5.11,19,197,92,93,85,335,281,259,756450,376290,371490,369700,756450,89.03,90.18,74.68,75.64,162.00,43.82,53.28644847173384
2018-01-01,162.00,0.00,134.00,3.00,299,110,222,181010,190510,371520,59.754521963824295,5.11,19,222,60,64,47,395,345,306,765350,376290,371490,369700,756450,104.97,106.33,91.68,92.87,222.00,60.05,59.754521963824295
2019-01-01,160.00,0.00,133.00,3.00,296,132,270,183100,192950,376030,71.80278169295002,5.11,19,270,118,84,54,513,429,360,774370,376290,371490,369700,756450,136.33,138.09,114.01,115.48,340.00,91.97,71.80278169295002
2020-01-01,213.00,2.00,203.00,5.00,423,167,317,187260,197480,384740,82.39330456931954,5.11,20,317,139,76,101,652,505,461,784940,376290,371490,369700,756450,173.27,175.51,134.21,135.94,479.00,129.56,82.39330456931954
