,m_f,m_trans,m_none,m_f_trans,m_trans_none,m_all,f_m,f_trans,f_none,f_m_trans,f_trans_none,f_all,opposite_sex_id,trans_nb
18_24,0.0072,0.0123,0.0451,0.0195,0.0574,0.0646,0.0037,0.0325,0.0585,0.0362,0.0910,0.0947,0.0054,0.0804
25_29,0.0043,0.0118,0.0241,0.0161,0.0359,0.0402,0.0026,0.0124,0.0406,0.0150,0.0530,0.0556,0.0033,0.0487
30_34,0.0035,0.0084,0.0186,0.0120,0.0271,0.0306,0.0030,0.0078,0.0256,0.0108,0.0334,0.0364,0.0032,0.0339
35_39,0.0009,0.0051,0.0160,0.0059,0.0211,0.0220,0.0005,0.0036,0.0136,0.0041,0.0172,0.0176,0.0006,0.0195
40_44,0.0023,0.0026,0.0119,0.0049,0.0145,0.0168,0.0015,0.0015,0.0122,0.0031,0.0137,0.0153,0.0019,0.0159
45_49,0.0010,0.0033,0.0136,0.0043,0.0170,0.0180,0.0017,0.0012,0.0097,0.0030,0.0109,0.0127,0.0014,0.0149
50_54,0.0020,0.0023,0.0089,0.0043,0.0112,0.0132,0.0007,0.0007,0.0088,0.0015,0.0096,0.0103,0.0013,0.0115
55_59,0.0017,0.0010,0.0124,0.0027,0.0134,0.0151,0.0010,0.0012,0.0061,0.0022,0.0073,0.0083,0.0013,0.0111
60_64,0.0017,0.0014,0.0066,0.0032,0.0080,0.0097,0.0011,0.0002,0.0060,0.0013,0.0062,0.0072,0.0013,0.0083
65_88,0.0024,0.0025,0.0081,0.0050,0.0106,0.0131,0.0023,0.0003,0.0059,0.0025,0.0062,0.0085,0.0023,0.0106
